age,gender,parent_income,num_siblings,family_support,commute_time_min,part_time_job,previous_gpa,num_failed_courses,high_school_grade,math_background_score,language_background_score,science_background_score,prior_semester_credits,study_hours_last_semester,past_attendance_rate,academic_warnings_count,lecture_attendance_rate,assignment_submission_rate,quiz_avg_score,midterm_score,lab_participation_rate,online_portal_usage_minutes,group_project_activity,library_visits_per_month,discussion_forum_posts,lateness_count,stress_level,sleep_hours,motivation_level,study_time_per_week,concentration_level,exam_anxiety_level,course_difficulty_rating,teacher_experience_years,class_size,num_prerequisites,course_type,final_score,final_grade,pass_fail
24.0,Female,22678.0,0.0,1.0,95.0,No,2.22,3.0,99.7,34.0,91.0,32.0,20.0,140.0,86.0,3.0,60.0,67.0,98.0,,89.0,1003.0,61.0,8.0,27.0,9.0,8.0,3.3,2.0,6.0,7.0,6.0,2.0,11.0,95.0,3.0,Elective,,C,Pass
21.0,Male,17905.0,3.0,2.0,0.0,Yes,3.78,1.0,75.7,91.0,21.0,87.0,14.0,32.0,84.0,1.0,,74.0,5.0,93.0,32.0,692.0,35.0,16.0,32.0,10.0,1.0,6.8,2.0,2.0,3.0,3.0,1.0,,148.0,2.0,Elective,81.7,C,Pass
28.0,Male,,0.0,0.0,67.0,No,,4.0,93.4,32.0,30.0,13.0,15.0,180.0,72.0,3.0,96.0,77.0,53.0,74.0,82.0,1918.0,60.0,17.0,18.0,11.0,7.0,6.4,1.0,13.0,1.0,8.0,1.0,32.0,55.0,3.0,Elective,77.3,B,Pass
25.0,Female,29391.0,4.0,4.0,83.0,Yes,1.84,4.0,69.7,33.0,19.0,43.0,12.0,167.0,51.0,0.0,,55.0,,98.0,19.0,1714.0,92.0,7.0,13.0,7.0,4.0,4.1,7.0,28.0,6.0,10.0,5.0,30.0,42.0,1.0,Mandatory,78.5,B,Pass
22.0,Male,15522.0,0.0,4.0,58.0,Yes,3.38,0.0,62.2,89.0,48.0,86.0,13.0,97.0,59.0,0.0,63.0,,82.0,19.0,74.0,17.0,17.0,4.0,37.0,1.0,10.0,9.3,9.0,17.0,10.0,5.0,3.0,31.0,123.0,1.0,Mandatory,60.3,D,Pass
24.0,Female,18153.0,5.0,5.0,103.0,No,1.82,4.0,74.4,5.0,84.0,85.0,14.0,107.0,50.0,1.0,61.0,70.0,51.0,34.0,61.0,1997.0,39.0,10.0,25.0,3.0,,9.2,9.0,36.0,,7.0,2.0,23.0,70.0,2.0,Mandatory,57.1,D,Pass
27.0,Female,6072.0,1.0,0.0,36.0,No,2.33,2.0,88.5,66.0,,54.0,20.0,83.0,88.0,1.0,78.0,96.0,21.0,61.0,29.0,1725.0,21.0,1.0,40.0,3.0,9.0,3.6,1.0,14.0,3.0,8.0,5.0,28.0,118.0,0.0,Elective,74.4,C,Pass
20.0,Male,5572.0,0.0,,77.0,No,3.41,2.0,95.5,49.0,51.0,69.0,18.0,172.0,87.0,3.0,98.0,86.0,46.0,55.0,91.0,1521.0,41.0,7.0,4.0,8.0,7.0,9.3,10.0,26.0,7.0,8.0,4.0,24.0,71.0,4.0,Mandatory,78.7,C,Pass
24.0,Male,27769.0,1.0,2.0,51.0,No,3.79,4.0,59.6,92.0,98.0,39.0,20.0,162.0,60.0,2.0,64.0,80.0,27.0,77.0,95.0,1104.0,92.0,8.0,34.0,6.0,5.0,6.3,3.0,14.0,,3.0,4.0,27.0,30.0,0.0,Mandatory,69.4,C,Pass
28.0,Male,7978.0,4.0,2.0,119.0,Yes,2.82,2.0,56.4,22.0,8.0,16.0,18.0,20.0,83.0,1.0,67.0,70.0,99.0,65.0,,1249.0,70.0,14.0,40.0,0.0,3.0,5.4,7.0,4.0,10.0,1.0,4.0,35.0,78.0,1.0,Elective,78.5,B,Pass
28.0,Male,2293.0,0.0,4.0,118.0,Yes,2.51,3.0,58.1,18.0,36.0,,19.0,15.0,75.0,1.0,51.0,,2.0,35.0,12.0,1311.0,85.0,15.0,30.0,4.0,3.0,8.5,1.0,24.0,7.0,9.0,5.0,33.0,179.0,4.0,Elective,50.7,D,Pass
25.0,Female,27497.0,0.0,2.0,77.0,,1.23,3.0,65.2,64.0,36.0,21.0,14.0,141.0,96.0,1.0,56.0,80.0,88.0,45.0,87.0,442.0,4.0,8.0,13.0,0.0,8.0,4.8,9.0,12.0,10.0,10.0,4.0,16.0,77.0,4.0,Elective,63.3,C,
22.0,Female,24242.0,4.0,4.0,117.0,Yes,2.85,2.0,79.9,45.0,60.0,79.0,17.0,74.0,80.0,3.0,90.0,96.0,49.0,44.0,84.0,156.0,54.0,,26.0,12.0,1.0,8.4,6.0,34.0,3.0,7.0,5.0,10.0,106.0,4.0,Elective,75.3,B,Pass
21.0,Male,3338.0,5.0,5.0,1.0,No,1.98,1.0,86.9,97.0,9.0,79.0,17.0,60.0,55.0,3.0,81.0,59.0,82.0,46.0,71.0,1441.0,70.0,1.0,6.0,0.0,7.0,9.7,0.0,32.0,8.0,10.0,3.0,10.0,80.0,0.0,Mandatory,78.4,B,Pass
25.0,Male,29774.0,0.0,3.0,20.0,No,2.54,0.0,68.2,23.0,56.0,22.0,19.0,160.0,85.0,2.0,90.0,56.0,42.0,51.0,12.0,644.0,77.0,13.0,18.0,10.0,8.0,7.9,10.0,15.0,5.0,8.0,5.0,8.0,67.0,1.0,Elective,63.3,D,Pass
25.0,Male,18151.0,1.0,5.0,28.0,No,3.23,2.0,95.9,43.0,88.0,12.0,19.0,55.0,53.0,0.0,88.0,64.0,79.0,65.0,26.0,1948.0,53.0,4.0,30.0,2.0,0.0,7.7,10.0,12.0,5.0,7.0,1.0,26.0,117.0,0.0,,77.1,C,Pass
20.0,Male,28990.0,,1.0,75.0,Yes,2.92,0.0,73.0,57.0,73.0,43.0,14.0,189.0,78.0,0.0,67.0,64.0,40.0,18.0,63.0,1151.0,74.0,4.0,15.0,8.0,7.0,7.4,4.0,1.0,10.0,10.0,1.0,5.0,41.0,2.0,Elective,52.9,C,Pass
23.0,Female,17380.0,2.0,2.0,81.0,No,1.29,4.0,74.4,35.0,64.0,95.0,19.0,172.0,88.0,0.0,80.0,78.0,75.0,70.0,45.0,1144.0,61.0,0.0,25.0,13.0,9.0,9.8,10.0,0.0,,4.0,5.0,38.0,81.0,0.0,Elective,66.2,C,Pass
22.0,Female,15045.0,5.0,1.0,37.0,Yes,2.19,1.0,94.3,0.0,75.0,39.0,17.0,68.0,79.0,0.0,62.0,72.0,14.0,78.0,82.0,891.0,32.0,6.0,22.0,4.0,2.0,3.3,3.0,1.0,5.0,2.0,2.0,10.0,183.0,1.0,Elective,62.2,D,Pass
19.0,Female,23593.0,2.0,3.0,104.0,No,1.6,3.0,53.1,93.0,63.0,58.0,14.0,72.0,73.0,2.0,86.0,84.0,60.0,28.0,58.0,898.0,49.0,15.0,,12.0,10.0,4.7,10.0,29.0,7.0,9.0,4.0,28.0,68.0,1.0,,56.9,C,Pass
25.0,Female,21859.0,1.0,0.0,31.0,No,1.45,2.0,80.4,86.0,97.0,90.0,18.0,128.0,63.0,3.0,79.0,51.0,77.0,20.0,73.0,358.0,10.0,15.0,20.0,12.0,5.0,3.8,10.0,39.0,2.0,10.0,1.0,39.0,162.0,3.0,Elective,64.4,C,Pass
29.0,Female,28117.0,0.0,0.0,40.0,Yes,1.66,1.0,78.0,77.0,20.0,84.0,12.0,91.0,62.0,3.0,68.0,72.0,61.0,40.0,99.0,1349.0,81.0,1.0,38.0,7.0,10.0,8.3,9.0,28.0,7.0,6.0,3.0,22.0,185.0,4.0,Elective,55.0,C,Pass
23.0,Female,4498.0,1.0,0.0,21.0,No,3.76,0.0,70.0,38.0,94.0,56.0,20.0,43.0,77.0,0.0,55.0,77.0,9.0,11.0,41.0,1296.0,58.0,1.0,3.0,0.0,0.0,7.6,7.0,22.0,0.0,9.0,2.0,28.0,155.0,3.0,Elective,45.1,F,Fail
19.0,Female,17113.0,4.0,4.0,99.0,Yes,3.14,2.0,71.6,26.0,55.0,66.0,14.0,23.0,78.0,3.0,87.0,82.0,83.0,54.0,46.0,575.0,59.0,5.0,4.0,2.0,3.0,6.2,6.0,21.0,7.0,5.0,2.0,6.0,198.0,0.0,Elective,76.1,C,Pass
29.0,Male,27483.0,1.0,4.0,41.0,Yes,3.72,3.0,84.5,81.0,56.0,84.0,16.0,174.0,97.0,3.0,64.0,70.0,1.0,61.0,,98.0,7.0,17.0,2.0,8.0,10.0,8.3,3.0,30.0,3.0,9.0,4.0,37.0,49.0,1.0,Elective,61.5,D,Pass
22.0,Female,7728.0,2.0,0.0,11.0,,2.52,3.0,78.5,84.0,31.0,90.0,17.0,176.0,97.0,3.0,74.0,83.0,63.0,2.0,62.0,907.0,38.0,11.0,30.0,10.0,7.0,6.5,3.0,12.0,5.0,,1.0,8.0,118.0,3.0,Elective,62.5,D,Pass
18.0,Male,25701.0,5.0,3.0,56.0,No,1.0,2.0,82.8,36.0,78.0,14.0,13.0,29.0,64.0,3.0,53.0,53.0,39.0,49.0,18.0,215.0,94.0,,3.0,14.0,3.0,8.0,3.0,12.0,2.0,6.0,,22.0,153.0,0.0,Mandatory,56.0,C,Pass
29.0,Male,20877.0,3.0,5.0,84.0,No,1.1,,72.0,37.0,83.0,98.0,15.0,31.0,55.0,2.0,75.0,99.0,3.0,31.0,67.0,1390.0,39.0,13.0,47.0,14.0,6.0,7.6,4.0,11.0,6.0,2.0,2.0,9.0,109.0,0.0,Elective,64.3,C,Pass
27.0,Male,28703.0,4.0,4.0,7.0,Yes,1.43,1.0,70.1,50.0,33.0,40.0,14.0,185.0,91.0,0.0,66.0,83.0,97.0,50.0,36.0,436.0,92.0,18.0,49.0,7.0,9.0,7.4,2.0,5.0,10.0,6.0,2.0,7.0,51.0,1.0,Elective,75.6,B,Pass
23.0,Female,5088.0,0.0,5.0,27.0,No,3.34,3.0,76.0,,6.0,37.0,18.0,132.0,93.0,1.0,89.0,64.0,37.0,29.0,62.0,1967.0,62.0,19.0,40.0,1.0,1.0,7.0,10.0,12.0,10.0,10.0,5.0,17.0,149.0,0.0,Elective,57.9,D,Pass
29.0,Female,8281.0,5.0,5.0,56.0,Yes,1.6,0.0,71.3,15.0,,23.0,12.0,82.0,55.0,2.0,50.0,63.0,42.0,63.0,48.0,728.0,22.0,19.0,31.0,14.0,10.0,5.9,2.0,4.0,8.0,0.0,3.0,13.0,40.0,2.0,Mandatory,62.2,D,Pass
26.0,Female,25179.0,1.0,0.0,52.0,No,1.3,3.0,,60.0,2.0,14.0,17.0,121.0,51.0,0.0,51.0,94.0,86.0,34.0,87.0,837.0,49.0,14.0,7.0,9.0,1.0,4.3,7.0,14.0,6.0,10.0,4.0,15.0,93.0,4.0,Mandatory,66.5,C,Pass
18.0,Female,17186.0,4.0,1.0,85.0,Yes,3.58,2.0,93.6,90.0,73.0,74.0,13.0,163.0,90.0,3.0,83.0,85.0,29.0,68.0,9.0,1827.0,94.0,,14.0,7.0,8.0,8.4,,2.0,4.0,1.0,4.0,36.0,,0.0,Mandatory,69.4,C,Pass
28.0,Male,24011.0,2.0,0.0,115.0,No,1.69,0.0,53.7,75.0,50.0,98.0,,197.0,99.0,2.0,67.0,78.0,99.0,55.0,73.0,1104.0,25.0,0.0,35.0,1.0,0.0,3.8,4.0,38.0,3.0,4.0,1.0,20.0,87.0,0.0,Mandatory,72.3,C,Pass
28.0,Female,14839.0,0.0,0.0,79.0,No,2.51,2.0,53.0,66.0,85.0,60.0,12.0,126.0,72.0,2.0,59.0,80.0,29.0,50.0,23.0,1701.0,51.0,1.0,34.0,3.0,8.0,5.1,,5.0,0.0,7.0,2.0,20.0,76.0,0.0,Elective,60.9,D,Pass
27.0,Male,22374.0,1.0,1.0,75.0,No,2.02,3.0,64.4,0.0,19.0,61.0,19.0,141.0,,1.0,76.0,69.0,54.0,31.0,73.0,682.0,93.0,10.0,27.0,,1.0,9.4,6.0,33.0,5.0,0.0,5.0,21.0,158.0,3.0,Elective,53.7,D,Pass
29.0,Female,22135.0,5.0,5.0,112.0,Yes,3.69,1.0,54.3,50.0,17.0,38.0,14.0,59.0,77.0,3.0,94.0,61.0,42.0,95.0,46.0,1823.0,58.0,18.0,34.0,10.0,1.0,3.2,6.0,1.0,5.0,1.0,5.0,22.0,39.0,4.0,Elective,,C,Pass
29.0,Female,25625.0,1.0,4.0,,Yes,3.11,0.0,77.0,25.0,95.0,91.0,,184.0,51.0,2.0,63.0,99.0,35.0,0.0,71.0,1719.0,17.0,2.0,5.0,12.0,7.0,4.2,3.0,10.0,7.0,,4.0,34.0,41.0,4.0,Elective,54.5,C,Pass
20.0,Male,20481.0,0.0,5.0,20.0,Yes,2.36,1.0,,29.0,67.0,59.0,14.0,46.0,95.0,0.0,78.0,51.0,5.0,94.0,81.0,868.0,38.0,2.0,3.0,10.0,3.0,3.6,7.0,25.0,3.0,6.0,3.0,24.0,104.0,2.0,Elective,66.2,C,Pass
29.0,Male,21558.0,5.0,1.0,50.0,Yes,3.59,4.0,89.2,16.0,32.0,67.0,16.0,33.0,86.0,,91.0,57.0,37.0,,40.0,410.0,12.0,9.0,49.0,11.0,1.0,8.1,10.0,2.0,4.0,5.0,1.0,32.0,133.0,4.0,Mandatory,58.6,D,Pass
24.0,Male,18771.0,3.0,4.0,6.0,No,3.18,0.0,82.5,12.0,65.0,90.0,13.0,174.0,52.0,3.0,92.0,99.0,61.0,6.0,20.0,1964.0,73.0,5.0,28.0,0.0,5.0,8.8,1.0,31.0,7.0,9.0,4.0,,191.0,4.0,Mandatory,61.9,C,Pass
21.0,Female,2298.0,3.0,3.0,60.0,Yes,3.43,3.0,60.6,53.0,15.0,76.0,19.0,72.0,54.0,2.0,94.0,50.0,62.0,44.0,39.0,1634.0,31.0,12.0,2.0,9.0,4.0,9.5,0.0,20.0,9.0,0.0,,2.0,53.0,4.0,Elective,57.9,D,Pass
26.0,Female,22818.0,4.0,4.0,83.0,No,3.93,1.0,66.5,25.0,53.0,11.0,19.0,169.0,87.0,1.0,53.0,84.0,,4.0,92.0,1539.0,6.0,4.0,8.0,10.0,5.0,8.0,6.0,3.0,9.0,2.0,1.0,28.0,198.0,3.0,Elective,62.2,D,Pass
20.0,Male,13652.0,1.0,2.0,99.0,No,1.61,1.0,65.3,45.0,71.0,57.0,12.0,75.0,61.0,2.0,61.0,70.0,58.0,13.0,48.0,1.0,37.0,10.0,33.0,14.0,9.0,7.0,3.0,9.0,4.0,10.0,1.0,16.0,34.0,0.0,Mandatory,54.1,C,Pass
22.0,Female,6061.0,4.0,4.0,115.0,No,1.61,3.0,96.1,6.0,36.0,51.0,19.0,12.0,81.0,3.0,73.0,72.0,8.0,85.0,29.0,545.0,93.0,13.0,1.0,12.0,1.0,6.6,2.0,1.0,10.0,1.0,3.0,3.0,159.0,0.0,Elective,74.2,C,Pass
20.0,Male,2473.0,0.0,2.0,53.0,Yes,2.67,2.0,94.4,15.0,52.0,78.0,15.0,127.0,84.0,2.0,60.0,93.0,84.0,32.0,59.0,48.0,17.0,17.0,23.0,1.0,3.0,5.1,0.0,27.0,5.0,0.0,3.0,20.0,,4.0,Elective,65.6,C,Pass
24.0,Female,18161.0,5.0,4.0,40.0,Yes,2.6,4.0,78.2,60.0,6.0,14.0,,30.0,54.0,1.0,69.0,93.0,94.0,53.0,60.0,1190.0,83.0,,14.0,5.0,0.0,,6.0,31.0,10.0,7.0,4.0,8.0,50.0,2.0,Elective,84.5,B,Pass
22.0,Male,7057.0,,1.0,59.0,No,3.61,3.0,68.2,23.0,16.0,30.0,20.0,63.0,58.0,1.0,84.0,68.0,72.0,20.0,,1976.0,80.0,8.0,42.0,6.0,4.0,3.3,10.0,9.0,3.0,7.0,2.0,39.0,162.0,3.0,Elective,69.7,C,Pass
26.0,Male,15079.0,1.0,4.0,43.0,No,1.47,1.0,73.1,1.0,89.0,97.0,20.0,48.0,93.0,0.0,74.0,58.0,77.0,25.0,92.0,1357.0,95.0,8.0,36.0,13.0,6.0,6.2,10.0,9.0,0.0,3.0,1.0,8.0,95.0,3.0,Mandatory,57.4,D,Pass
24.0,,13405.0,3.0,0.0,76.0,No,2.28,0.0,78.4,12.0,42.0,3.0,15.0,136.0,88.0,2.0,62.0,64.0,1.0,13.0,62.0,1965.0,79.0,6.0,44.0,14.0,4.0,7.3,1.0,12.0,0.0,0.0,2.0,23.0,106.0,3.0,Elective,46.0,C,Fail
19.0,Male,18168.0,3.0,4.0,104.0,Yes,2.58,4.0,74.6,29.0,77.0,37.0,12.0,123.0,78.0,0.0,51.0,89.0,95.0,90.0,23.0,1100.0,,10.0,41.0,2.0,9.0,9.1,2.0,39.0,3.0,6.0,4.0,2.0,66.0,4.0,Mandatory,81.1,C,Pass
21.0,Female,7289.0,0.0,1.0,28.0,No,2.39,3.0,53.1,58.0,7.0,49.0,17.0,51.0,74.0,2.0,60.0,,97.0,4.0,96.0,1890.0,71.0,9.0,26.0,14.0,5.0,7.9,9.0,20.0,6.0,8.0,2.0,37.0,23.0,1.0,Elective,55.6,C,Pass
